Fiscal Year 2022,A1,A2,A3,B1,B1/B2,B2,BBBCC,BBBCV,C1,C1/D,C2,C3,CW1,CW2,D,E1,E2,E2C,E3,E3D,E3R,F1,F2,G1,G2,G3,G4,G5,H1B,H1B1,H1C,H2A,H2B,H3,H4,I,J1,J2,K1,K2,K3,K4,L1,L2,M1,M2,N8,N9,NATO1,NATO2,NATO3,NATO4,NATO5,NATO6,O1,O2,O3,P1,P2,P3,P4,Q1,R1,R2,T2,T3,T4,T5,T6,TD,TN,U1,U2,U3,U4,U5,Grand Total
Algeria,59,133,1,4,"12,208",0,0,0,16,4,1,1,0,0,129,0,0,0,0,0,0,259,25,27,21,0,43,1,18,0,0,0,0,0,7,9,203,20,30,0,0,0,20,30,1,0,0,0,0,0,0,0,0,0,1,1,5,11,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"13,293"
Angola,54,120,0,6,"2,421",202,0,0,2,134,0,0,0,0,0,0,0,0,0,0,0,390,43,47,87,0,14,0,9,0,0,0,0,0,2,11,41,0,1,0,0,0,16,24,8,3,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,643"
Benin,6,76,1,2,961,1,0,0,5,0,0,2,0,0,2,0,1,0,0,0,0,163,4,13,19,0,59,0,3,0,0,0,0,0,3,0,38,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,378"
Botswana,24,207,0,1,873,0,0,0,10,18,0,0,0,0,0,0,0,0,0,3,0,123,11,6,3,1,33,0,14,0,0,0,0,6,6,0,64,7,1,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,421"
Burkina Faso,32,82,0,2,"2,324",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,271,5,6,115,0,67,0,9,0,0,0,0,0,6,14,46,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,3,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,005"
Burundi,14,10,0,0,513,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,134,1,10,62,0,68,0,3,0,0,0,0,0,1,2,19,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,857
Cabo Verde,6,45,0,2,"1,342",0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,28,0,6,24,0,4,1,3,0,0,0,0,0,1,0,14,0,56,10,0,0,1,1,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,42,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,605"
Cameroon,31,229,0,9,"5,390",3,0,0,4,29,1,1,0,0,0,0,2,0,0,0,0,517,13,28,75,0,189,0,56,0,0,0,0,2,33,1,200,79,80,17,0,0,6,7,0,0,0,0,0,0,0,0,0,0,4,2,0,5,0,5,0,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,"7,044"
Central African Republic,23,22,0,0,68,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9,0,24,45,0,8,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220
Chad,28,72,0,1,558,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,73,5,19,95,0,54,0,4,0,0,0,0,0,0,0,22,0,2,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951
Comoros,9,16,7,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,29,0,7,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
"Congo, Democratic Republic of the",9,520,0,10,"3,931",7,0,0,5,6,0,0,0,0,0,0,1,0,0,0,0,"1,146",27,7,389,0,65,0,24,0,0,0,0,0,6,2,80,11,58,3,0,0,4,9,7,0,0,0,0,0,0,0,0,0,4,24,1,5,0,1,0,0,15,10,0,0,1,3,0,0,0,0,0,0,0,0,"6,391"
